salary,start,end,supplements,breaks,id,employeeId,employeeGroupId,date,salaryCode,wage,shiftDuration,departmentId,positionId
17.3125,2026-01-20T12:00:00,2026-01-20T13:15:00,[],[],16018455,250916,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:01:15,55297,
0.0,2026-01-20T11:00:00,2026-01-20T21:00:00,[],[],16017884,251262,141853,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:10:00,55297,
0.0,2026-01-20T11:00:00,2026-01-20T21:00:00,[],[],16017889,263481,141853,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:10:00,55297,
26.583333333333286,2026-01-20T14:00:00,2026-01-20T15:50:00,[],[],16018444,265814,141403,2026-01-20,1201,"{'rate': 14.5, 'type': 'Hourly'}",0:01:50,55301,
0.0,2026-01-20T09:00:00,2026-01-20T18:00:00,[],[],16017778,247145,141397,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,83216.0
0.0,2026-01-20T10:00:00,2026-01-20T18:00:00,[],[],16017781,247669,141398,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:08:00,54896,85099.0
0.0,2026-01-20T12:00:00,2026-01-20T21:00:00,[],[],16017783,265775,141398,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,85099.0
110.8,2026-01-20T12:00:00,2026-01-20T20:00:00,[],[],16017579,247111,141399,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0
110.8,2026-01-20T16:00:00,2026-01-21T00:00:00,[],[],16017580,248037,141399,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83046.0
96.95,2026-01-20T17:00:00,2026-01-21T00:00:00,[],[],16017581,247119,141399,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,83046.0
83.1,2026-01-20T18:00:00,2026-01-21T00:00:00,[],[],16017583,248027,141399,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83046.0
110.8,2026-01-20T15:00:00,2026-01-20T23:00:00,[],[],16017650,247129,141400,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83215.0
110.8,2026-01-20T13:00:00,2026-01-20T21:00:00,[],[],16017651,247130,141400,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,83215.0
83.1,2026-01-20T17:00:00,2026-01-20T23:00:00,[],[],16017659,265754,141400,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83215.0
83.1,2026-01-20T17:00:00,2026-01-20T23:00:00,[],[],16017680,247107,141400,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83215.0
83.1,2026-01-20T17:00:00,2026-01-20T23:00:00,[],[],16017919,247078,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,82067.0
83.1,2026-01-20T17:00:00,2026-01-20T23:00:00,[],[],16017968,247094,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,82067.0
96.95,2026-01-20T16:00:00,2026-01-20T23:00:00,[],[],16017983,247096,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,82067.0
110.8,2026-01-20T16:00:00,2026-01-21T00:00:00,[],[],16017997,250230,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,82067.0
83.1,2026-01-20T15:00:00,2026-01-20T21:00:00,[],[],16018050,265818,141402,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:06:00,54896,83223.0
150.0,2026-01-20T11:00:00,2026-01-20T21:00:00,[],[],16017782,265793,141403,2026-01-20,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:10:00,54896,82065.0
120.0,2026-01-20T15:00:00,2026-01-20T23:00:00,[],[],16017785,265774,141403,2026-01-20,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,82065.0
110.8,2026-01-20T09:00:00,2026-01-20T17:00:00,[],[],16017918,264001,141406,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:08:00,54896,82066.0
96.95,2026-01-20T16:00:00,2026-01-20T23:00:00,[],[],16017971,247076,141406,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:07:00,54896,82066.0
120.0,2026-01-20T11:00:00,2026-01-20T19:00:00,[],[],16017643,247140,141407,2026-01-20,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:08:00,54896,83221.0
0.0,2026-01-20T10:00:00,2026-01-20T19:00:00,[],[],16017784,248506,141413,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54896,83219.0
127.8,2026-01-20T09:00:00,2026-01-20T18:00:00,[],[],16017916,247091,141415,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:09:00,54896,83222.0
99.4,2026-01-20T12:00:00,2026-01-20T19:00:00,[],[],16018393,248110,141415,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:00,54896,
112.0,2026-01-20T10:00:00,2026-01-20T17:00:00,[],[],16017814,247105,141417,2026-01-20,1201,"{'rate': 16.0, 'type': 'Hourly'}",0:07:00,54896,
85.2,2026-01-20T16:00:00,2026-01-20T22:00:00,[],[],16017896,247083,141417,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:06:00,54896,
135.0,2026-01-20T11:00:00,2026-01-20T20:00:00,[],[],16017637,247072,141418,2026-01-20,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:09:00,54896,84166.0
99.4,2026-01-20T11:00:00,2026-01-20T18:00:00,[],[],16017578,247139,141569,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:00,54896,83224.0
99.4,2026-01-20T17:00:00,2026-01-21T00:00:00,[],[],16017582,247067,141569,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:07:00,54896,83224.0
127.8,2026-01-20T08:00:00,2026-01-20T17:00:00,[],[],16017970,247137,141829,2026-01-20,1201,"{'rate': 14.2, 'type': 'Hourly'}",0:09:00,54896,84389.0
144.0,2026-01-20T09:00:00,2026-01-20T18:00:00,[],[],16017779,247097,142270,2026-01-20,1201,"{'rate': 16.0, 'type': 'Hourly'}",0:09:00,54896,
0.0,2026-01-20T15:00:00,2026-01-20T22:30:00,[],[],16016702,247003,141397,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:07:30,54895,
0.0,2026-01-20T15:00:00,2026-01-21T00:00:00,[],[],16016703,263444,141398,2026-01-20,1201,"{'rate': 0.0, 'type': 'Hourly'}",0:09:00,54895,
124.65,2026-01-20T15:00:00,2026-01-21T00:00:00,[],[],16016700,265358,141401,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:09:00,54895,
69.25,2026-01-20T19:00:00,2026-01-21T00:00:00,[],[],16018454,264483,141406,2026-01-20,1201,"{'rate': 13.85, 'type': 'Hourly'}",0:05:00,54895,
105.0,2026-01-20T17:00:00,2026-01-21T00:00:00,[],[],16016743,265746,141418,2026-01-20,1201,"{'rate': 15.0, 'type': 'Hourly'}",0:07:00,54895,
